GENE	COUNT
Rv1936	1
Rv1927	1
Rv1920	1
Rv1904	1
Rv1895	1
Rv1888c	1
Rv1885c	1
Rv1883c	1
Rv1815	1
Rv1812c	1
Rv1775	1
Rv1769	1
Rv1687c	1
Rv1647	1
Rv1634	1
Rv1597	1
Rv1592c	1
Rv1532c	1
Rv1520	1
Rv1517	1
Rv1508c	1
Rv1505c	1
Rv1502	1
Rv1498c	1
Rv1489	1
Rv1486c	1
Rv1463	1
Rv1461	1
Rv1459c	1
Rv1458c	1
Rv1453	1
Rv1443c	1
Rv1439c	1
Rv1431	1
Rv1374c	1
Rv1373	1
Rv1367c	1
Rv1364c	1
Rv1321	1
Rv1320c	1
Rv1313c	1
Rv1258c	1
Rv1248c	1
Rv1232c	1
Rv1230c	1
Rv1225c	1
Rv1219c	1
Rv1218c	1
Rv1217c	1
Rv1215c	1
Rv1186c	1
Rv1179c	1
Rv1157c	1
Rv1154c	1
Rv1125	1
Rv1086	1
Rv1048c	1
Rv1045	1
Rv0990c	1
Rv0987	1
Rv0964c	1
Rv0959	1
Rv0958	1
Rv0945	1
Rv0927c	1
Rv0923c	1
Rv0922	1
Rv0918	1
Rv0893c	1
Rv0891c	1
Rv0890c	1
Rv0888	1
Rv0881	1
Rv0874c	1
Rv0862c	1
Rv0845	1
Rv0836c	1
Rv0829	1
Rv0825c	1
Rv0812	1
Rv0787	1
Rv0785	1
Rv0767c	1
Rv0699	1
Rv0697	1
Rv0679c	1
Rv0658c	1
Rv0633c	1
Rv0576	1
Rv0575c	1
Rv0572c	1
Rv0565c	1
Rv0556	1
Rv0538	1
Rv0537c	1
Rv0493c	1
Rv0465c	1
Rv0455c	1
Rv0428c	1
Rv0412c	1
Rv0398c	1
Rv0395	1
Rv0376c	1
Rv0373c	1
Rv0368c	1
Rv0325	1
Rv0324	1
Rv0323c	1
Rv0318c	1
Rv0316	1
Rv0315	1
Rv0311	1
Rv0293c	1
Rv0263c	1
Rv0259c	1
Rv0226c	1
Rv0223c	1
Rv0221	1
Rv0210	1
Rv0193c	1
Rv0192	1
Rv0185	1
Rv0178	1
Rv0128	1
Rv0094c	1
Rv0090	1
Rv0078A	1
Rv0068	1
Rv0063	1
Rv0061c	1
Rv0048c	1
Rv0024	1
Rv0008c	1
PPE8	1
PPE7	1
PPE69	1
PPE6	1
PPE59	1
PPE58	1
PPE57	1
PPE56	1
PPE53	1
PPE52	1
PPE44	1
PPE37	1
PPE35	1
PPE34	1
PPE33	1
PPE3	1
PPE21	1
PPE20	1
PPE2	1
PPE18	1
PPE17	1
PPE1	1
PE35	1
PE3	1
PE27	1
PE24	1
PE10	1
ANN[0].GENE	1
